,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance
18,89.0,244.0,9.0,147.0,10.0,0.0,0.0,100.0,83.0,10.0,1.0,10.0,0.0,0.0,0.0,3.0,70.2104219767771,2.0,2.5639510341916423,0.0,50.0,0.0
19,65.0,43.0,2.0,26.0,15.0,1.0,1.0,100.0,83.0,17.0,2.0,25.0,0.0,4.0,4.0,31.0,83.0,5.0,1.0,0.0,75.0,0.0
20,57.0,147.0,4.0,73.0,27.0,1.0,1.0,97.0,1.0,31.0,2.0,48.0,0.0,4.0,4.0,44.0,87.0,3.0,2.0,3.0,56.0,0.0
21,72.0,365.0,11.0,83.0,22.0,0.0,0.0,100.0,83.0,22.0,1.0,41.0,0.0,0.0,0.0,49.0,23.0,6.0,2.0,1.0,73.0,0.0
22,72.0,84.0,4.0,53.0,29.0,0.0,0.0,100.0,83.0,30.0,2.0,27.0,0.0,1.0,1.0,43.0,48.0,9.0,5.0,3.0,64.0,1.0
23,65.0,88.0,9.0,45.0,20.0,0.0,0.0,85.0,1.0,20.0,1.0,20.0,0.0,0.0,0.0,14.0,71.0,4.0,2.0,1.0,50.0,0.0
24,64.0,91.0,4.0,55.0,19.0,1.0,1.0,90.0,0.0,20.0,2.0,50.0,0.0,2.0,2.0,24.0,81.0,6.0,3.0,1.0,82.0,0.0
25,58.0,265.0,3.0,79.0,25.0,2.0,1.0,93.0,13.0,28.0,2.0,48.0,0.0,1.0,1.0,63.0,50.0,8.0,2.0,0.0,91.0,0.0
26,58.0,150.0,16.0,72.0,18.0,2.0,0.0,55.0,4.0,22.0,0.0,45.0,0.0,1.0,1.0,79.0,38.0,7.0,3.0,0.0,91.0,0.0
27,79.0,162.0,7.0,94.0,17.0,0.0,0.0,100.0,83.0,17.0,1.0,29.0,0.0,0.0,0.0,28.0,70.2104219767771,3.0,1.0,1.0,57.0,0.0
28,66.0,284.0,32.0,107.0,15.0,2.0,2.0,82.0,3.0,17.0,0.0,53.0,0.0,1.0,1.0,19.0,50.0,3.0,2.0,1.0,63.0,0.0
29,69.0,476.0,8.0,157.0,38.0,4.0,4.0,100.0,83.0,39.0,1.0,36.0,0.0,4.0,4.0,50.0,54.0,14.0,2.0,4.0,89.0,0.0
30,71.0,179.0,3.0,62.0,15.0,3.0,2.0,83.0,37.0,18.0,4.0,33.0,0.0,5.0,5.0,5.0,9.0,1.0,1.0,0.0,22.0,1.0
31,54.0,114.0,12.0,49.0,9.0,3.0,3.0,64.0,4.0,12.0,0.0,27.0,0.0,0.0,0.0,62.0,14.0,6.0,2.0,1.0,100.0,0.0
32,68.0,133.0,7.0,44.0,39.0,2.0,2.0,100.0,83.0,39.0,4.0,67.0,0.0,2.0,2.0,15.0,73.0,5.0,2.0,0.0,50.0,0.0
33,75.0,164.0,4.0,66.0,19.0,0.0,0.0,100.0,83.0,19.0,2.0,21.0,0.0,0.0,0.0,53.0,92.0,5.0,1.0,1.0,55.0,1.0
34,67.0,118.0,6.0,37.0,23.0,2.0,2.0,88.0,70.0,26.0,5.0,42.0,0.0,0.0,0.0,31.0,70.0,5.0,3.0,1.0,67.0,0.0
35,88.0,153.0,33.0,92.0,13.0,0.0,0.0,100.0,83.0,14.0,0.0,7.0,0.0,0.0,0.0,1.0,66.51626155426224,1.0,2.397237827715356,0.0,25.0,1.0
36,51.0,186.0,13.0,96.0,22.0,3.0,1.0,84.0,2.0,25.0,0.0,56.0,0.0,4.0,3.0,79.0,50.0,5.0,3.0,3.0,100.0,0.0
37,70.0,127.0,25.0,57.0,23.0,0.0,0.0,96.0,18.848360655737704,24.0,0.0,13.0,0.0,0.0,0.0,51.0,70.2104219767771,9.0,2.5639510341916423,1.0,67.0,0.0
38,65.0,116.0,10.0,37.0,14.0,1.0,1.0,93.0,72.0,15.0,1.0,13.0,0.0,2.0,2.0,52.0,70.2104219767771,3.0,1.0,2.0,56.0,0.0
39,78.0,21.0,4.0,13.0,11.0,0.0,0.0,100.0,83.0,11.0,5.0,64.0,0.0,3.0,3.0,7.0,70.2104219767771,3.0,2.5639510341916423,0.0,75.0,0.0
40,86.0,318.0,18.0,90.0,13.0,0.0,0.0,100.0,83.0,13.0,0.0,62.0,0.0,0.0,0.0,0.0,44.0,0.0,2.0,0.7092896174863388,50.0,1.0
41,90.0,230.0,13.0,73.0,11.0,0.0,0.0,100.0,83.0,13.0,0.0,62.0,0.0,0.0,0.0,1.0,71.0,1.0,4.0,0.0,71.0,1.0
42,76.0,293.0,4.0,74.0,33.0,0.0,0.0,100.0,83.0,34.0,1.0,38.0,0.0,2.0,2.0,37.0,70.2104219767771,13.0,1.0,0.0,88.0,0.0
43,70.0,37.0,4.0,20.0,19.0,0.0,0.0,100.0,83.0,20.0,2.0,20.0,0.0,3.0,3.0,42.0,73.0,2.0,2.0,1.0,50.0,0.0
44,73.0,255.0,16.0,100.0,40.0,0.0,0.0,100.0,83.0,44.0,0.0,23.0,0.0,1.0,1.0,79.0,70.2104219767771,18.0,1.0,13.0,80.0,0.0
45,72.0,209.0,2.0,95.0,41.0,0.0,0.0,100.0,83.0,42.0,3.0,38.0,0.0,1.0,1.0,42.0,70.2104219767771,7.0,2.0,2.0,82.0,0.0
46,83.0,398.0,3.0,118.0,29.0,0.0,0.0,100.0,83.0,29.0,2.0,31.0,0.0,3.0,3.0,22.0,87.0,6.0,3.0,0.0,69.0,1.0
47,87.0,326.0,7.0,111.0,26.0,0.0,0.0,100.0,83.0,30.0,1.0,40.0,0.0,0.0,0.0,12.0,89.0,3.0,2.0,0.0,56.0,1.0
48,55.0,114.0,6.0,59.0,19.0,0.0,0.0,89.0,5.0,19.0,1.0,53.0,0.0,1.0,1.0,97.0,90.0,8.0,2.0,6.0,100.0,0.0
49,65.0,478.0,12.0,97.0,44.0,0.0,0.0,89.0,1.0,47.0,0.0,32.0,0.0,9.0,9.0,63.0,70.2104219767771,9.0,2.5639510341916423,6.0,60.0,0.0
50,78.0,197.0,23.0,91.0,15.0,0.0,0.0,100.0,83.0,17.0,0.0,41.0,0.0,5.0,5.0,57.0,32.0,2.0,2.0,1.464035646085296,67.0,0.0
51,79.0,243.0,17.0,77.0,35.0,0.0,0.0,97.0,67.0,39.0,0.0,36.0,0.0,2.0,2.0,20.0,66.51626155426224,4.0,1.0,0.0,56.0,1.0
52,75.0,183.0,18.0,92.0,21.0,0.0,0.0,100.0,83.0,22.0,0.0,27.0,0.0,0.0,0.0,88.0,91.0,9.0,3.0,5.0,93.0,0.0
53,70.0,176.0,8.0,96.0,20.0,0.0,0.0,95.0,17.0,20.0,1.0,30.0,0.0,0.0,0.0,74.0,71.0,8.0,4.0,3.0,86.0,0.0
54,78.0,368.0,6.0,74.0,42.0,0.0,0.0,98.0,23.0,43.0,3.0,49.0,0.0,3.0,3.0,10.0,19.0,8.0,2.0,0.0,67.0,0.0
55,75.0,300.0,14.0,124.0,22.0,0.0,0.0,100.0,83.0,23.0,0.0,39.0,0.0,0.0,0.0,57.0,70.2104219767771,4.0,1.0,1.0,100.0,0.0
56,76.0,150.0,11.0,54.0,14.0,0.0,0.0,100.0,83.0,15.0,1.0,40.0,0.0,0.0,0.0,32.0,96.0,4.0,2.0,0.0,75.0,0.0
57,72.0,168.0,8.0,62.0,10.0,0.0,0.0,100.0,83.0,11.0,1.0,18.0,0.0,5.0,5.0,60.0,82.0,7.0,1.0,0.0,100.0,0.0
58,55.0,118.0,4.0,69.0,12.0,7.0,4.0,50.0,4.0,22.0,2.0,27.0,0.0,2.0,2.0,79.0,79.0,5.0,2.0,2.0,88.0,0.0
59,74.0,277.0,30.0,123.0,24.0,0.0,0.0,88.0,12.0,24.0,0.0,25.0,0.0,0.0,0.0,45.0,70.2104219767771,12.0,1.0,2.0,93.0,0.0
60,63.0,174.0,1.0,62.0,11.0,1.0,0.0,79.0,5.0,14.0,1.0,29.0,0.0,5.0,5.0,37.0,101.0,5.0,2.0,2.0,70.0,0.0
61,81.0,137.0,9.0,66.0,34.0,0.0,0.0,100.0,83.0,34.0,1.0,62.0,0.0,1.0,1.0,24.0,92.0,3.0,4.0,0.0,78.0,0.0
62,81.0,126.0,9.0,78.0,18.0,0.0,0.0,100.0,83.0,18.0,1.0,83.0,0.0,0.0,0.0,0.0,64.0,1.0,3.0,0.7092896174863388,80.0,1.0
63,59.0,243.0,11.0,79.0,38.0,1.0,1.0,76.0,7.0,43.0,1.0,50.0,0.0,1.0,1.0,63.0,78.0,7.0,4.0,4.0,86.0,0.0
64,66.0,176.0,11.0,81.0,43.0,0.0,0.0,98.0,3.0,44.0,1.0,39.0,0.0,2.0,2.0,36.0,64.0,3.0,4.0,1.0,47.0,0.0
65,72.0,169.0,5.0,60.0,21.0,1.0,1.0,96.0,30.0,23.0,1.0,52.0,0.0,4.0,4.0,66.0,82.0,4.0,3.0,1.0,78.0,0.0
66,73.0,409.0,7.0,94.0,38.0,0.0,0.0,100.0,83.0,39.0,2.0,18.0,0.0,1.0,1.0,27.0,69.0,11.0,2.0,2.0,72.0,1.0
67,86.0,419.0,10.0,122.0,17.0,0.0,0.0,100.0,83.0,18.0,1.0,72.0,0.0,0.0,0.0,0.0,36.0,0.0,2.0,1.464035646085296,50.0,0.0
68,91.0,282.0,100.0,209.0,6.0,0.0,0.0,100.0,83.0,7.0,0.0,43.0,0.0,0.0,0.0,0.0,70.2104219767771,0.0,2.5639510341916423,1.464035646085296,0.0,0.0
69,73.0,324.0,15.0,89.0,19.0,0.0,0.0,89.0,9.0,19.0,0.0,21.0,0.0,0.0,0.0,34.0,36.0,6.0,3.0,1.0,64.0,1.0
70,78.0,134.0,2.0,63.0,35.0,0.0,0.0,93.0,32.0,40.0,3.0,40.0,0.0,0.0,0.0,22.0,55.0,5.0,4.0,0.0,60.0,1.0
71,65.0,155.0,8.0,37.0,20.0,1.0,1.0,95.0,8.0,21.0,1.0,38.0,0.0,2.0,2.0,49.0,87.0,5.0,5.0,1.0,67.0,0.0
72,75.0,70.0,1.0,38.0,8.0,0.0,0.0,100.0,83.0,9.0,1.0,78.0,0.0,4.0,3.0,17.0,70.2104219767771,2.0,1.0,1.464035646085296,100.0,0.0
73,84.0,277.0,8.0,109.0,8.0,0.0,0.0,100.0,83.0,8.0,1.0,50.0,0.0,0.0,0.0,33.0,66.51626155426224,2.0,1.0,0.0,100.0,1.0
74,75.0,294.0,12.0,94.0,39.0,0.0,0.0,98.0,27.05164066702528,40.0,0.0,35.0,0.0,2.0,2.0,17.0,66.51626155426224,6.0,5.0,0.0,61.0,1.0
75,60.0,357.0,17.0,141.0,9.0,4.0,3.0,67.0,3.0,13.0,0.0,50.0,0.0,1.0,1.0,28.0,66.51626155426224,4.0,2.397237827715356,0.7092896174863388,100.0,1.0
76,68.0,106.0,3.0,54.0,29.0,1.0,1.0,87.0,51.0,31.0,2.0,65.0,0.0,1.0,1.0,85.0,73.0,3.0,5.0,2.0,100.0,1.0
77,67.0,85.0,7.0,44.0,15.0,1.0,1.0,93.0,45.0,16.0,2.0,33.0,0.0,0.0,0.0,59.0,62.0,3.0,2.0,2.0,83.0,0.0
78,71.0,282.0,1.0,73.0,22.0,0.0,0.0,96.0,18.848360655737704,25.0,5.0,4.0,0.0,2.0,2.0,37.0,39.0,11.0,1.0,1.0,80.0,0.0
79,50.0,204.0,2.0,91.0,23.0,2.0,0.0,82.0,1.0,28.0,2.0,32.0,0.0,6.0,6.0,32.0,70.2104219767771,5.0,2.5639510341916423,0.0,67.0,0.0
80,62.0,151.0,19.0,99.0,5.0,1.0,1.0,80.0,16.0,6.0,0.0,80.0,0.0,0.0,0.0,40.0,75.0,1.0,2.0,0.0,100.0,0.0
81,70.0,333.0,2.0,75.0,16.0,0.0,0.0,100.0,83.0,20.0,8.0,30.0,0.0,0.0,0.0,78.0,92.0,6.0,2.0,4.0,67.0,0.0
82,58.0,307.0,6.0,79.0,14.0,1.0,0.0,73.0,18.0,15.0,2.0,53.0,0.0,0.0,0.0,81.0,75.0,3.0,3.0,2.0,86.0,0.0
83,76.79083034016479,17.0,17.0,17.0,1.0,0.0,0.0,100.0,83.0,1.0,0.0,100.0,0.0,0.0,0.0,24.266709237973604,66.51626155426224,3.6921606118546846,2.397237827715356,0.7092896174863388,60.04396533502431,1.0
84,88.0,188.0,13.0,82.0,20.0,0.0,0.0,100.0,83.0,20.0,0.0,40.0,0.0,0.0,0.0,17.0,82.0,2.0,2.0,0.0,50.0,1.0
85,65.0,107.0,7.0,48.0,40.0,0.0,0.0,100.0,83.0,43.0,4.0,42.0,0.0,2.0,2.0,80.0,86.0,5.0,2.0,4.0,70.0,0.0
86,74.0,169.0,5.0,78.0,26.0,0.0,0.0,96.0,76.0,27.0,2.0,37.0,0.0,1.0,1.0,37.0,91.0,5.0,4.0,0.0,75.0,0.0
87,78.0,282.0,2.0,95.0,23.0,0.0,0.0,100.0,83.0,24.0,1.0,13.0,0.0,1.0,1.0,22.0,70.2104219767771,4.0,1.0,1.0,43.0,0.0
88,74.0,378.0,7.0,110.0,41.0,0.0,0.0,98.0,35.0,42.0,4.0,57.0,0.0,0.0,0.0,44.0,76.0,4.0,5.0,2.0,69.0,1.0
89,77.0,311.0,11.0,103.0,39.0,0.0,0.0,98.0,27.05164066702528,42.0,1.0,36.0,0.0,0.0,0.0,46.0,73.0,5.0,4.0,1.0,69.0,1.0
90,67.0,299.0,2.0,79.0,25.0,0.0,0.0,89.0,15.0,27.0,3.0,37.0,0.0,12.0,11.0,63.0,63.0,13.0,3.0,4.0,94.0,0.0
91,56.0,76.0,6.0,32.0,11.0,2.0,2.0,92.0,15.0,14.0,5.0,17.0,0.0,3.0,3.0,83.0,42.0,5.0,2.0,2.0,100.0,1.0
92,88.0,211.0,20.0,103.0,13.0,0.0,0.0,100.0,83.0,14.0,0.0,57.0,24.0,0.0,0.0,0.0,19.0,2.0,3.0,0.0,71.0,1.0
93,75.0,169.0,2.0,59.0,21.0,0.0,0.0,100.0,83.0,22.0,4.0,36.0,24.0,4.0,4.0,43.0,112.0,4.0,6.0,0.0,83.0,0.0
94,66.0,127.0,2.0,69.0,17.0,0.0,0.0,94.0,16.0,18.0,4.0,33.0,24.0,3.0,3.0,42.0,81.0,3.0,4.0,3.0,58.0,0.0
95,81.0,220.0,2.0,91.0,20.0,0.0,0.0,100.0,83.0,23.0,2.0,39.0,24.0,2.0,2.0,36.0,66.51626155426224,3.0,1.0,1.0,67.0,1.0
96,71.0,177.0,8.0,95.0,24.0,0.0,0.0,96.0,18.848360655737704,24.0,1.0,75.0,24.0,1.0,1.0,87.0,87.0,4.0,2.0,3.0,100.0,0.0
97,69.0,112.0,2.0,43.0,5.0,0.0,0.0,100.0,83.0,7.0,2.0,43.0,24.0,1.0,1.0,37.0,58.0,3.0,2.0,0.0,83.0,0.0
98,74.0,150.0,13.0,91.0,13.0,1.0,1.0,93.0,35.0,14.0,0.0,29.0,24.0,0.0,0.0,36.0,66.51626155426224,1.0,1.0,1.0,40.0,1.0
99,56.0,224.0,21.0,109.0,27.0,1.0,1.0,79.0,4.0,28.0,0.0,21.0,24.0,1.0,1.0,101.0,79.0,15.0,1.0,11.0,94.0,0.0
100,65.0,243.0,9.0,89.0,23.0,0.0,0.0,83.0,2.0,23.0,1.0,52.0,24.0,0.0,0.0,49.0,75.0,4.0,4.0,1.0,80.0,0.0
101,92.0,152.0,15.0,154.0,14.0,0.0,0.0,100.0,83.0,15.0,0.0,47.0,24.0,0.0,0.0,7.0,79.0,2.0,2.0,0.0,80.0,1.0
102,91.0,150.0,3.0,108.0,10.0,0.0,0.0,100.0,83.0,11.0,1.0,64.0,24.0,1.0,1.0,2.0,41.0,1.0,3.0,0.0,67.0,1.0
103,73.0,183.0,6.0,90.0,19.0,1.0,1.0,100.0,83.0,19.0,1.0,32.0,24.0,0.0,0.0,6.0,52.0,1.0,2.0,0.0,50.0,1.0
104,66.0,255.0,1.0,80.0,14.0,1.0,1.0,88.0,9.0,16.0,3.0,69.0,24.0,4.0,4.0,58.0,60.0,3.0,4.0,1.0,88.0,0.0
105,87.0,120.0,12.0,59.0,26.0,0.0,0.0,100.0,83.0,26.0,0.0,54.0,24.0,1.0,1.0,1.0,70.2104219767771,2.0,1.0,0.0,75.0,0.0
106,64.0,246.0,16.0,106.0,5.0,3.0,3.0,88.0,57.0,8.0,0.0,88.0,24.0,1.0,1.0,44.83497092440346,144.0,4.487420127795527,4.0,1.464035646085296,100.0,0.0
107,63.0,123.0,2.0,40.0,5.0,1.0,1.0,86.0,29.0,7.0,4.0,43.0,24.0,0.0,0.0,77.0,70.2104219767771,3.0,1.0,1.0,100.0,0.0
108,78.0,177.0,1.0,65.0,26.0,0.0,0.0,96.0,27.05164066702528,28.0,3.0,46.0,24.0,1.0,1.0,4.0,72.0,4.0,5.0,0.0,64.0,1.0
109,75.0,212.0,23.0,105.0,11.0,0.0,0.0,82.0,21.0,11.0,0.0,45.0,24.0,1.0,1.0,13.0,70.2104219767771,1.0,1.0,0.0,100.0,0.0
110,68.0,224.0,9.0,110.0,24.0,5.0,5.0,86.0,25.0,29.0,1.0,31.0,24.0,5.0,5.0,5.0,73.0,2.0,2.0,0.7092896174863388,71.0,1.0
111,61.0,208.0,6.0,96.0,24.0,3.0,2.0,74.0,44.0,27.0,3.0,63.0,24.0,2.0,2.0,53.0,77.0,6.0,4.0,2.0,92.0,0.0
112,63.0,203.0,2.0,79.0,16.0,0.0,0.0,59.0,3.0,17.0,1.0,47.0,24.0,3.0,3.0,55.0,77.0,7.0,3.0,1.0,91.0,0.0
113,69.0,160.0,5.0,109.0,11.0,1.0,1.0,92.0,20.0,13.0,1.0,31.0,24.0,0.0,0.0,94.0,70.2104219767771,3.0,2.0,3.0,100.0,0.0
114,49.0,103.0,4.0,48.0,10.0,12.0,9.0,53.0,7.0,17.0,1.0,35.0,24.0,2.0,2.0,37.0,66.0,5.0,2.0,0.0,80.0,0.0
115,74.0,159.0,9.0,69.0,26.0,0.0,0.0,100.0,83.0,27.0,2.0,48.0,24.0,0.0,0.0,61.0,67.0,3.0,4.0,2.0,78.0,0.0
116,65.0,241.0,37.0,95.0,15.0,0.0,0.0,76.0,0.0,17.0,0.0,29.0,24.0,1.0,1.0,51.0,43.0,3.0,1.0,1.0,80.0,0.0
117,80.0,203.0,6.0,91.0,15.0,0.0,0.0,100.0,83.0,17.0,1.0,29.0,24.0,0.0,0.0,16.0,93.0,6.0,2.0,1.0,69.0,0.0
118,61.0,61.0,10.0,41.0,9.0,0.0,0.0,80.0,18.848360655737704,10.0,1.0,50.0,24.0,2.0,2.0,80.0,95.0,4.0,3.0,1.0,100.0,0.0
119,57.0,178.0,2.0,79.0,23.0,0.0,0.0,92.0,2.0,26.0,2.0,58.0,24.0,3.0,3.0,57.0,77.0,5.0,2.0,1.0,100.0,0.0
120,59.0,131.0,7.0,81.0,13.0,1.0,0.0,69.0,5.0,17.0,1.0,50.0,24.0,2.0,2.0,75.0,70.2104219767771,3.0,2.0,1.0,100.0,0.0
121,71.0,103.0,15.0,94.0,6.0,1.0,0.0,86.0,13.0,7.0,0.0,14.0,24.0,0.0,0.0,48.0,70.2104219767771,2.0,2.5639510341916423,0.0,67.0,0.0
122,86.0,168.0,15.0,85.0,33.0,0.0,0.0,97.0,51.0,34.0,0.0,38.0,24.0,0.0,0.0,3.0,66.51626155426224,3.0,2.0,0.0,56.0,1.0
123,83.0,106.0,3.0,62.0,28.0,0.0,0.0,100.0,83.0,28.0,5.0,11.0,24.0,4.0,4.0,17.0,66.51626155426224,2.0,1.0,0.0,60.0,1.0
124,59.0,198.0,6.0,89.0,29.0,3.0,2.0,79.0,21.0,34.0,1.0,38.0,24.0,3.0,3.0,38.0,98.0,11.0,1.0,1.0,86.0,0.0
125,59.0,256.0,0.0,50.0,11.0,1.0,0.0,44.0,1.0,16.0,1.0,75.0,24.0,1.0,1.0,93.0,74.0,3.0,6.0,2.0,90.0,0.0
126,55.0,203.0,7.0,81.0,19.0,2.0,1.0,86.0,3.0,21.0,2.0,33.0,24.0,3.0,3.0,56.0,87.0,3.0,2.0,1.0,83.0,1.0
127,75.0,258.0,28.0,97.0,23.0,0.0,0.0,96.0,27.05164066702528,24.0,0.0,13.0,24.0,0.0,0.0,31.0,66.51626155426224,4.0,2.397237827715356,0.0,57.0,1.0
128,78.0,41.0,3.0,16.0,3.0,0.0,0.0,100.0,83.0,3.0,2.0,67.0,24.0,16.0,16.0,0.0,70.2104219767771,0.0,1.0,1.464035646085296,50.0,0.0
129,65.0,14.0,0.0,4.0,3.0,0.0,0.0,100.0,83.0,6.0,5.0,33.0,24.0,9.0,9.0,1.0,98.0,1.0,2.0,0.0,50.0,1.0
130,80.0,233.0,3.0,106.0,28.0,0.0,0.0,97.0,2.0,30.0,4.0,37.0,2.0,3.0,3.0,4.0,98.0,4.0,2.0,0.0,86.0,1.0
131,70.0,252.0,3.0,73.0,20.0,4.0,2.0,88.0,31.0,24.0,4.0,67.0,2.0,1.0,1.0,16.0,93.0,3.0,2.0,0.0,63.0,0.0
132,59.0,180.43139604553625,5.0,82.0,20.0,5.0,5.0,78.0,6.0,27.0,1.0,67.0,4.0,1.0,1.0,98.0,84.0,2.0,4.0,1.464035646085296,100.0,0.0
133,57.0,246.0,4.0,72.0,34.0,2.0,1.0,88.0,3.0,40.0,4.0,73.0,2.0,3.0,3.0,12.0,70.0,3.0,12.0,0.0,89.0,0.0
134,77.0,154.0,3.0,55.0,31.0,0.0,0.0,100.0,83.0,32.0,6.0,63.0,2.0,2.0,1.0,26.0,74.0,5.0,14.0,0.0,86.0,0.0
135,65.0,37.0,13.0,24.0,11.0,0.0,0.0,100.0,83.0,11.0,0.0,27.0,3.0,4.0,4.0,81.0,70.2104219767771,6.0,1.0,2.0,88.0,0.0
136,67.0,97.0,2.0,46.0,8.0,0.0,0.0,100.0,83.0,9.0,1.0,33.0,0.0,1.0,1.0,66.0,48.0,5.0,2.0,1.0,88.0,0.0
137,73.0,136.0,6.0,77.0,25.0,0.0,0.0,100.0,83.0,25.0,4.0,36.0,0.0,3.0,3.0,54.0,100.0,11.0,1.0,1.0,100.0,0.0
138,73.0,190.0,8.0,113.0,27.0,0.0,0.0,100.0,83.0,30.0,1.0,23.0,7.0,0.0,0.0,40.0,78.0,9.0,3.0,1.0,68.0,0.0
139,77.0,221.0,17.0,93.0,46.0,0.0,0.0,100.0,83.0,51.0,0.0,36.0,17.0,0.0,0.0,41.0,70.2104219767771,8.0,1.0,2.0,75.0,0.0
140,61.0,190.0,7.0,118.0,34.0,0.0,0.0,82.0,22.0,34.0,1.0,50.0,19.0,0.0,0.0,97.0,78.0,6.0,4.0,4.0,100.0,0.0
141,86.0,242.0,77.0,135.0,14.0,0.0,0.0,100.0,83.0,14.0,0.0,36.0,1.0,3.0,3.0,3.0,66.51626155426224,2.0,1.0,0.0,43.0,1.0
142,66.0,132.0,3.0,36.0,34.0,0.0,0.0,100.0,83.0,34.0,3.0,26.0,10.0,0.0,0.0,66.0,81.0,21.0,4.0,5.0,96.0,1.0
143,64.0,178.0,8.0,108.0,33.0,0.0,0.0,85.0,1.0,33.0,2.0,36.0,0.0,4.0,4.0,48.0,78.0,5.0,3.0,3.0,62.0,0.0
144,79.0,245.0,6.0,100.0,35.0,0.0,0.0,100.0,83.0,37.0,1.0,43.0,4.0,1.0,1.0,18.0,61.0,6.0,4.0,0.0,71.0,1.0
