,age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,income,marital-status_Non-Married,native-country_US,occupation_Other,race_White,relationship_Non-Husband,sex_Male,workclass_Private
33,30,59951,10,0,0,40,0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
34,22,311512,10,0,0,15,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
35,48,242406,7,0,0,40,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
36,21,197200,10,0,0,40,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
37,19,544091,9,0,0,25,0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
38,31,84154,10,0,0,38,1,0.0,1.0,1.0,1.0,0.0,1.0,1.0
39,48,265477,12,0,0,40,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
40,31,507875,5,0,0,43,0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
41,53,88506,13,0,0,40,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
42,24,172987,13,0,0,50,0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
43,49,94638,9,0,0,40,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
44,25,289980,9,0,0,35,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45,57,337895,13,0,0,40,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0
46,53,144361,9,0,0,38,0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
47,44,128354,14,0,0,40,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
48,41,101603,11,0,0,40,0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
49,29,271466,11,0,0,43,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
50,25,32275,10,0,0,40,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
51,18,226956,9,0,0,30,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
52,47,51835,15,0,1902,60,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0
53,50,251585,13,0,0,55,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0
54,47,109832,9,0,0,60,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
55,43,237993,10,0,0,40,1,0.0,1.0,1.0,1.0,0.0,1.0,1.0
56,46,216666,3,0,0,40,0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
57,35,56352,11,0,0,40,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
58,41,147372,9,0,0,48,0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
59,30,188146,9,5013,0,40,0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
60,30,59496,13,2407,0,40,0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
61,32,293936,4,0,0,40,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
62,48,149640,9,0,0,40,0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
63,42,116632,16,0,0,45,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0
64,29,105598,10,0,0,58,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
65,36,155537,9,0,0,40,0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
66,28,183175,10,0,0,40,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
67,53,169846,9,0,0,40,1,0.0,1.0,0.0,1.0,1.0,0.0,1.0
68,49,191681,10,0,0,50,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0
69,25,200681,10,0,0,40,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
70,19,101509,10,0,0,32,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
71,31,309974,13,0,0,40,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
72,29,162298,13,0,0,70,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0
73,23,211678,10,0,0,40,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
74,79,124744,10,0,0,20,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
75,27,213921,9,0,0,40,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
76,40,32214,12,0,0,40,0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
77,67,212759,6,0,0,2,0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
78,18,309634,7,0,0,22,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
79,31,125927,4,0,0,40,0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
80,18,446839,9,0,0,30,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
81,52,276515,13,0,0,40,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
82,46,51618,9,0,0,40,0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
83,59,159937,9,0,0,48,0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
84,44,343591,9,14344,0,40,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0
85,53,346253,9,0,0,35,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
86,49,268234,9,0,0,40,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0
87,33,202051,14,0,0,50,0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
88,30,54334,5,0,0,40,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
89,43,410867,16,0,0,50,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0
90,57,249977,11,0,0,40,0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
91,37,286730,10,0,0,40,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
92,28,212563,10,0,0,25,0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
93,30,117747,9,0,1573,35,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
94,34,226296,13,0,0,40,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0
95,29,115585,10,0,0,50,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
96,48,191277,16,0,1902,60,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0
97,37,202683,10,0,0,48,1,0.0,1.0,1.0,1.0,0.0,1.0,1.0
98,48,171095,12,0,0,40,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
99,32,249409,9,0,0,40,0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
100,76,124191,14,0,0,40,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0
101,44,198282,13,15024,0,60,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0
102,47,149116,14,0,0,50,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
103,20,188300,10,0,0,40,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
104,29,103432,9,0,0,40,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
105,32,317660,9,7688,0,40,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0
106,17,304873,6,34095,0,32,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
107,30,194901,7,0,0,40,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
108,31,189265,9,0,0,40,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
109,42,124692,9,0,0,40,0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
110,24,432376,13,0,0,40,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
111,38,65324,15,0,0,40,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0
112,56,335605,9,0,1887,50,1,0.0,0.0,1.0,1.0,0.0,1.0,0.0
113,28,377869,10,4064,0,25,0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
114,36,102864,9,0,0,40,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
115,53,95647,5,0,0,50,0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
116,56,303090,10,0,0,50,0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
117,49,197371,11,0,0,40,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0
118,55,247552,10,0,0,56,0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
119,22,102632,9,0,0,41,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
120,21,199915,10,0,0,40,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
121,40,118853,13,0,0,60,0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
122,30,77143,13,0,0,40,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
123,29,267989,13,0,0,50,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0
124,19,301606,10,0,0,35,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
125,47,287828,13,0,0,40,1,0.0,1.0,0.0,1.0,1.0,0.0,1.0
126,20,111697,10,0,1719,28,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
127,31,114937,12,0,0,40,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0
128,35,129305,9,0,0,40,0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
129,39,365739,10,0,0,40,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
130,28,69621,12,0,0,60,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
131,24,43323,9,0,1762,40,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
132,38,120985,9,4386,0,35,0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
133,37,254202,13,0,0,50,0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
134,46,146195,12,0,0,36,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
135,38,125933,14,0,0,40,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0
136,43,56920,9,0,0,60,0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
137,27,163127,11,0,0,35,0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
138,20,34310,10,0,0,20,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
139,49,81973,10,0,0,40,1,0.0,1.0,1.0,0.0,0.0,1.0,1.0
140,61,66614,9,0,0,40,0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
141,27,232782,10,0,0,40,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
142,19,316868,10,0,0,30,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
143,45,196584,11,0,1564,40,1,1.0,1.0,0.0,1.0,1.0,0.0,1.0
144,70,105376,10,0,0,40,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
145,31,185814,9,0,0,30,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
146,22,175374,10,0,0,24,0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
147,36,108293,9,0,0,24,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
148,64,181232,7,0,2179,40,0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
149,43,174662,10,0,0,40,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
150,47,186009,10,0,0,38,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
151,34,198183,9,0,0,40,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
152,33,163003,13,0,0,40,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
153,21,296158,9,0,0,35,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
154,52,252903,9,0,0,45,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
155,48,187715,9,0,0,46,0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
156,23,214542,13,0,0,40,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
157,71,494223,10,0,1816,2,0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
158,29,191535,9,0,0,60,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
159,42,228456,13,0,0,50,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
160,68,38317,2,0,0,20,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
161,25,252752,9,0,0,40,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
162,44,78374,14,0,0,40,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
163,28,88419,9,0,0,40,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
164,45,201080,14,0,0,40,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0
165,36,207157,10,0,0,40,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
166,39,235485,12,0,0,42,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
167,46,102628,14,0,0,40,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
168,18,25828,7,0,0,16,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
169,66,54826,11,0,0,20,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
170,27,124953,9,0,1980,40,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
171,28,175325,9,0,0,40,0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
172,51,96062,10,0,1977,40,1,0.0,1.0,1.0,1.0,0.0,1.0,1.0
173,27,428030,13,0,0,50,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
174,28,149624,13,0,0,40,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0
175,27,253814,9,0,0,25,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
176,21,312956,9,0,0,40,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
177,34,483777,9,0,0,40,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
178,18,183930,9,0,0,12,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
179,33,37274,13,0,0,65,0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
180,44,181344,10,0,0,38,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0
181,43,114580,10,0,0,40,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
182,30,633742,10,0,0,45,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
183,40,286370,4,0,0,40,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0
184,37,29054,10,0,0,42,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0
185,34,304030,9,0,0,40,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
186,41,143129,13,0,0,40,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
187,53,135105,13,0,0,50,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
188,31,99928,14,0,0,50,0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
189,58,109567,16,0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0
190,38,155222,10,0,0,28,0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
191,24,159567,10,0,0,40,0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
192,41,523910,13,0,0,40,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
193,47,120939,10,0,0,45,0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
194,41,130760,13,0,0,24,0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
195,23,197387,3,0,0,40,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
196,36,99374,10,0,0,40,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
197,40,56795,14,14084,0,55,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0
198,35,138992,14,7298,0,40,1,0.0,1.0,0.0,1.0,1.0,1.0,1.0
199,24,32921,9,0,0,40,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
200,26,397317,14,0,1876,40,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
201,19,170653,9,0,0,40,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
202,51,259323,13,0,0,50,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0
203,42,254817,10,0,1340,40,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
204,37,48211,9,0,0,35,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
205,18,140164,7,0,0,40,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
206,36,128757,13,7298,0,36,1,0.0,1.0,1.0,0.0,0.0,1.0,1.0
207,35,36270,9,0,0,60,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
208,58,210563,9,15024,0,35,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0
209,17,65368,7,0,0,12,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
210,44,160943,9,0,0,40,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
211,37,208358,9,0,0,40,1,0.0,1.0,1.0,1.0,0.0,1.0,1.0
212,35,153790,10,0,0,40,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
213,60,85815,9,0,0,40,0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
214,54,125417,4,0,0,40,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0
215,37,635913,13,0,0,60,1,1.0,1.0,0.0,0.0,1.0,1.0,1.0
216,50,313321,12,0,0,40,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
217,38,182609,13,0,0,50,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
218,45,109434,13,0,0,55,0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
219,25,255004,6,0,0,40,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
220,31,197860,10,0,0,40,0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
221,64,187656,2,0,0,40,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
222,90,51744,9,0,2206,40,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
223,54,176681,9,0,0,20,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
224,53,140359,1,0,0,35,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
225,18,243313,9,0,0,40,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
226,60,24215,6,0,0,10,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
227,66,167687,9,1409,0,50,0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
228,75,314209,11,0,0,20,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
229,65,176796,9,0,0,40,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
230,35,538583,7,3674,0,40,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
231,41,130408,9,0,0,38,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
232,25,159732,10,0,0,42,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
233,33,110978,10,0,0,40,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
234,28,76714,15,0,0,55,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0
235,59,268700,9,0,0,40,0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
236,40,170525,10,0,0,38,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
237,41,180138,13,0,0,50,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0
238,38,115076,14,0,0,70,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0
239,23,115458,9,0,0,40,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
240,40,347890,13,0,0,40,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0
241,41,196001,9,0,0,20,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
242,24,273905,12,0,0,50,0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
243,20,119156,10,0,0,20,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
244,38,179488,10,0,1741,40,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
245,56,203580,9,0,0,35,0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
246,58,236596,9,0,0,45,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0
247,32,183916,9,0,0,34,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
248,40,207578,12,0,1977,60,1,0.0,1.0,1.0,1.0,0.0,1.0,1.0
249,45,153141,9,0,0,40,0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
250,41,112763,15,0,0,40,1,0.0,1.0,0.0,1.0,1.0,0.0,1.0
251,42,390781,13,0,0,40,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
252,59,171328,6,0,0,30,0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
253,19,27382,10,0,0,40,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
254,58,259014,10,0,0,20,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
255,42,303044,9,0,0,40,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0
256,20,117789,9,0,0,40,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
257,32,172579,9,0,0,30,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
258,45,187666,11,0,0,45,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
259,50,204518,4,0,0,40,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
260,36,150042,13,0,0,40,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
261,45,98092,9,0,0,60,0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
262,17,245918,7,0,0,12,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
263,59,146013,10,4064,0,40,0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
264,26,378322,7,0,0,40,0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
265,37,257295,10,0,0,75,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
266,19,218956,10,0,0,24,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
267,64,21174,9,0,0,40,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0
268,33,185480,13,0,0,45,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
269,33,222205,9,0,0,40,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
270,61,69867,9,0,0,40,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0
271,17,191260,5,1055,0,24,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
272,50,30653,14,2407,0,98,0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
273,27,209109,14,0,0,35,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
274,30,70377,9,0,0,40,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
275,43,477983,9,0,0,40,0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
276,44,170924,10,7298,0,40,1,0.0,1.0,1.0,1.0,0.0,1.0,1.0
277,35,190174,10,0,0,40,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
278,25,193787,10,0,0,40,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
279,24,279472,10,7298,0,48,1,0.0,1.0,0.0,1.0,1.0,0.0,1.0
280,22,34918,13,0,0,15,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
281,42,97688,10,5178,0,40,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0
282,34,175413,12,0,0,45,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
283,60,173960,13,0,0,42,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
284,21,205759,9,0,0,40,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
285,57,425161,14,15024,0,40,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0
286,41,220531,15,0,0,60,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0
287,50,176609,10,0,0,45,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
288,25,371987,13,0,0,40,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
289,50,193884,4,0,0,40,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
290,36,200352,13,0,0,45,0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
291,31,127595,9,0,0,40,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
292,29,220419,13,0,0,56,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
293,21,231931,10,0,0,45,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
294,27,248402,13,0,0,40,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
295,65,111095,9,0,0,16,0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
296,37,57424,13,0,0,60,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
297,39,157443,14,3464,0,40,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
298,24,278130,9,0,0,40,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
299,38,169469,9,0,0,80,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
300,48,146268,13,7688,0,40,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0
301,21,153718,10,0,0,25,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
302,31,217460,9,0,0,45,1,0.0,1.0,1.0,1.0,0.0,1.0,1.0
303,55,238638,9,4386,0,40,1,0.0,1.0,1.0,1.0,0.0,1.0,1.0
304,24,303296,10,0,0,40,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
305,43,173321,9,0,0,40,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
